

529303,Benešov,X
532568,Bernartice,X
530743,Bílkovice,X
532380,Blaejovice,X
532096,Borovnice,X
532924,Bukovany,X
529451,Bystøice,X
532690,Ctiboø,X
529478,Èakov,X
529486,Èechtice,X
529516,Èerèany,X
529532,Èervenı Újezd,X
529541,Èeskı Šternberk,X
529567,Ètyøkoly,X
532746,Dìkanovice,X
529621,Divišov,X
529648,Dolní Kralovice,X
532151,Drahòovice,X
532843,Dunice,X
529702,Heømanièky,X
532932,Hradištì,X
529737,Hulice,X
529745,Hvìzdonice,X
532886,Cháøovice,X
532878,Chleby,X
532045,Chlístov,X
529770,Chlum,X
529788,Chmelná,X
529796,Chocerady,X
532606,Choratice,X
529818,Chotıšany,X
532037,Chrášany,X
529842,Jankov,X
529851,Javorník,X
532134,Ješetice,X
531031,Kamberk,X
529907,Keblov,X
533084,Kladruby,X
